"","app_date","applicantID","loan_sequence","disp_date","twoDigits_zip","addrZip","clientID","addrCity","Latitude","Longtiude","repayStatus","delinqDays","age","appGender","appCivilStatus","appDependents","appIncome","requestedAmt_loan1","requestedTerm_loan1","actualAmt_loan1","actualTerm_loan1","scoreProxy","starting_state","game_count","game_dummy","stadium","nn.dists","lat","long","dif_metric","nn.dists.sq","check","obs","meters","mi","near_club_1","near_club_med","near_club_mean","near_club_3","loan_rt","weekday","month","city","game","Final Comp","near_club_1_game_st","near_club_med_game_st","near_club_mean_game_st","near_club_3_game_st"
"27",2018-11-21,102580,1,2018-11-21,"52",52280,125820,"San Antonio la Isla",19.16,-99.5608,"1",0,32,"1","single",1,8000,3000,30,2000,30,"3",100,0,0,1,0.16559015671229,19.2873,-99.6667,0.0274201000000007,0.0274201000000007,-3.46944695195361e-18,27,18020.1118638922,11.1972062236023,0,1,1,1,0.25,"4","11",NA,0,NA,0,0,0,0
"28",2018-11-21,102660,1,2018-11-21,"94",94733,99716,"rio blanco",18.8298,-97.1162,"0",302,32,"1","single",0,10000,1500,23,1500,23,"3",100,0,0,3,1.0461203037892,19.1643,-96.125,1.09436769000001,1.09436769000001,-2.22044604925031e-16,28,110775.80351376,68.8330641839261,0,0,1,1,0.15,"4","11",NA,0,NA,0,0,0,0
"29",2018-11-21,102689,3,2018-11-21,"36",36300,41687,"SAN FRANCISCO DEL RINCON",20.9408,-101.8128,"1",0,34,"0","single",1,35000,3000,30,3000,30,NA,100,0,0,11,0.233615282034368,21.1155,-101.6577,0.0545760999999975,0.0545760999999975,-6.93889390390723e-18,29,25257.1896638505,15.69412906151,0,1,1,1,0.0857142857142857,"4","11",NA,0,NA,0,0,0,0
"30",2018-11-21,102705,1,2018-11-22,"22",22205,125965,"Tijuana",32.3617,-116.7366,"1",0,29,"1","married",1,13000,3000,10,2500,9,"2",100,0,0,14,0.29491918436243,32.506744,-116.993387,0.086977325305001,0.086977325305001,-1.38777878078145e-17,30,29030.6354929239,18.0388454229211,0,1,1,1,0.192307692307692,"4","11",NA,0,NA,0,0,0,0
"31",2018-11-21,102716,1,2018-11-21,"9",9360,126008,"Iztapalapa",19.3429,-98.9888,"1",0,28,"0","single",0,12000,2000,30,1500,23,"1",100,0,0,13,0.166573977559518,19.3029,-99.1505,0.0277468899999987,0.0277468899999987,0,31,17560.3043746622,10.9114943856874,0,1,1,1,0.125,"4","11",NA,0,NA,0,0,0,0
"32",2018-11-21,102731,1,2018-11-21,"45",45060,6453,"Zapopan",20.7949,-103.4942,"0",257,45,"0","married",3,28700,1500,30,1500,30,"3",100,0,0,12,0.117431554532845,20.6818,-103.4626,0.0137901700000006,0.0137901700000006,0,32,13012.9402751266,8.08588631061588,0,1,1,1,0.0522648083623693,"4","11",NA,0,NA,0,0,0,0
"33",2018-11-21,102739,3,2018-11-21,"67",67134,106806,"Guadalupe",25.6726,-100.2057,"1",0,42,"1","married",3,8000,2500,7,2000,7,NA,100,0,0,8,0.0390486875579795,25.6682,-100.2445,0.00152480000000071,0.00152480000000071,0,33,3923.58839224612,2.43801085677739,1,1,1,1,0.25,"4","11",NA,0,NA,0,0,0,0
"34",2018-11-21,102762,1,2018-11-21,"62",62730,71474,"Yautepec",18.9026,-98.9717,"0",329,42,"0","single",2,6600,1500,30,1500,30,"3",100,0,0,13,0.438417073116456,19.3029,-99.1505,0.192209529999999,0.192209529999999,0,34,48367.6978496772,30.0543687783049,0,0,1,1,0.227272727272727,"4","11",NA,0,NA,0,0,0,0
"35",2018-11-21,102780,1,2018-11-22,"78",78170,126063,"San Luis Potosv<U+2260>",22.1599,-100.9608,"1",0,26,"0","single",0,35000,1500,23,1500,23,"4",100,0,0,11,1.2555640047405,21.1155,-101.6577,1.57644097,1.57644097,2.22044604925031e-16,35,136809.272002983,85.0095517435612,0,0,1,1,0.0428571428571429,"4","11",NA,0,NA,0,0,0,0
"36",2018-11-21,102784,3,2018-11-21,"75",75615,12323,"Tochtepec",18.8544,-97.8535,"0",344,45,"0","married",1,7000,3000,30,1500,30,NA,100,0,0,10,0.372277154818828,18.9972,-98.1973,0.138590280000001,0.138590280000001,-2.77555756156289e-17,36,39538.9307292437,24.5684135914373,0,0,1,1,0.214285714285714,"4","11",NA,0,NA,0,0,0,0
"37",2018-11-21,102788,2,2018-11-21,"11",11320,56645,"Miguel Hidalgo",19.4514,-99.1723,"0",297,29,"0","single",0,15000,2000,15,1500,15,"3",100,0,0,6,0.121145614860792,19.3319,-99.1922,0.0146762599999994,0.0146762599999994,0,37,13465.7955952322,8.36727826017635,0,1,1,1,0.1,"4","11",NA,0,NA,0,0,0,0
"38",2018-11-21,102792,3,2018-11-21,"6",6720,93237,"Cuahutemoc",19.4165,-99.1493,"1",0,37,"1","married",0,25000,3000,30,2500,30,NA,100,0,0,6,0.0948555217159231,19.3319,-99.1922,0.00899756999999996,0.00899756999999996,1.73472347597681e-18,38,10439.747122343,6.48697423934219,1,1,1,1,0.1,"4","11",NA,0,NA,0,0,0,0
"39",2018-11-21,102802,2,2018-11-21,"52",52054,105132,"Lerma",19.3451,-99.4453,"1",0,41,"1","married",3,9200,2500,15,2500,15,NA,100,0,0,1,0.228820453631229,19.2873,-99.6667,0.0523588000000012,0.0523588000000012,6.93889390390723e-18,39,24132.3169043638,14.9951637965649,0,1,1,1,0.271739130434783,"4","11",NA,0,NA,0,0,0,0
"40",2018-11-21,102813,1,2018-11-22,"25",25628,126095,"Frontera",26.9477,-101.5283,"0",335,43,"0","married",2,9000,3000,30,2000,23,"3",100,0,0,2,1.72641267662167,25.7225,-100.312,2.98050073000001,2.98050073000001,4.44089209850063e-16,40,182552.825744895,113.433348916261,0,0,0,1,0.222222222222222,"4","11",NA,0,NA,0,0,0,0
"41",2018-11-21,102858,3,2018-11-22,"70",70701,77834,"SALINA CRUZ",16.246,-95.193,"1",0,26,"1","married",0,8000,1500,30,1500,30,NA,100,0,0,3,3.0635108764292,19.1643,-96.125,9.38509889000002,9.38509889000001,1.77635683940025e-15,41,339561.623571025,210.994335299579,0,0,0,0,0.1875,"4","11",NA,0,NA,0,0,0,0
"42",2018-11-21,102871,1,2018-11-22,"7",7960,123889,"Gustavo A. Madero",19.4523,-99.0959,"1",0,56,"0","married",5,12300,3000,30,2000,23,"2",100,0,0,6,0.154174738527425,19.3319,-99.1922,0.0237698499999999,0.0237698499999999,-3.46944695195361e-18,42,16789.5003372824,10.43253777156,0,1,1,1,0.16260162601626,"4","11",NA,0,NA,0,0,0,0
"43",2018-11-21,102877,1,2018-11-22,"50",50160,126196,"Toluca de Lerdo",19.2668,-99.6752,"0",328,32,"1","married",2,6000,3000,30,1500,30,"1",100,0,0,1,0.0221923410211699,19.2873,-99.6667,0.0004924999999999,0.0004924999999999,0,43,2450.61072371885,1.52274269186055,1,1,1,1,0.25,"4","11",NA,0,NA,0,0,0,0
"44",2018-11-21,102966,1,2018-11-22,"48",48325,126258,"Puerto Vallarta",20.6721,-105.1492,"1",0,50,"1","single",0,12000,1500,30,1500,30,"1",100,0,0,12,1.68662789316434,20.6818,-103.4626,2.84471365,2.84471365,0,44,175660.188393582,109.150451982541,0,0,0,1,0.125,"4","11",NA,0,NA,0,0,0,0
